name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Jacory Croskey-Merritt,WAS,RB,,7.2,0.3,,,,,HIGH,2 proj sources,Goal-line yes but rookie Kaytron Allen vultures
Blake Corum,LAR,RB,,6.7,0.3,,,,,HIGH,2 proj sources,Alternates drives with Kyren
Rachaad White,WAS,RB,,5.0,1.9,,,,,HIGH,2 proj sources,Signed TB to WAS
Jaylen Warren,PIT,RB,,4.8,1.8,,,,,HIGH,2 proj sources,True 50-50 with Dowdle
Rico Dowdle,PIT,RB,,5.2,1.1,,,,,HIGH,2 proj sources,True 50-50 with Warren
Chuba Hubbard,CAR,RB,,4.9,1.2,,,,,MEDIUM,2 proj sources,
Tony Pollard,TEN,RB,,5.2,0.8,,,,,HIGH,2 proj sources,
Kyle Monangai,CHI,RB,,5.2,0.7,,,,,MEDIUM,2 proj sources,
Jordan Mason,MIN,RB,,5.7,0.1,,,,,HIGH,VEGAS 4.5 rush TD + 2 proj,Goal-line yes; Vegas lower than consensus
RJ Harvey,DEN,RB,,3.0,2.8,,,,,HIGH,2 proj sources,
Kenny Gainwell,TB,RB,,3.8,2.0,,,,,HIGH,2 proj sources,
Zach Charbonnet,SEA,RB,,5.0,0.7,,,,,MEDIUM,2 proj sources disagree,Torn ACL Feb surgery; on PUP; ESPN number too aggressive
Jonathon Brooks,CAR,RB,,4.2,1.1,,,,,HIGH,2 proj sources,Repeat ACL history
Aaron Jones Sr.,MIN,RB,,3.1,1.6,,,,,HIGH,2 proj sources,
Isiah Pacheco,DET,RB,,3.8,0.4,,,,,HIGH,2 proj sources,Signed KC to DET
Brian Robinson Jr.,ATL,RB,,3.9,0.1,,,,,HIGH,2 proj sources,Vultures Bijan at goal line
Tyjae Spears,TEN,RB,,2.5,1.3,,,,,HIGH,2 proj sources,
Chris Rodriguez Jr.,JAX,RB,,3.7,0.1,,,,,HIGH,2 proj sources,SLEEPER: hand-picked by Coen as goal-line back over Tuten
Woody Marks,HOU,RB,,2.5,1.1,,,,,HIGH,2 proj sources,
Samaje Perine,CIN,RB,,2.6,0.8,,,,,HIGH,2 proj sources,
Alvin Kamara,NO,RB,,2.0,1.4,,,,,HIGH,2 proj sources,Declining
Tyler Allgeier,ARI,RB,,3.1,0.2,,,,,HIGH,2 proj sources,Opened camp ahead of rookie Love
Tank Bigsby,PHI,RB,,3.2,0.1,,,,,HIGH,2 proj sources,
Ty Johnson,BUF,RB,,1.6,1.6,,,,,HIGH,2 proj sources,
MarShawn Lloyd,GB,RB,,2.9,0.3,,,,,HIGH,2 proj sources,
Braelon Allen,NYJ,RB,,3.0,0.2,,,,,HIGH,2 proj sources,
Keaton Mitchell,LAC,RB,,2.2,0.9,,,,,HIGH,2 proj sources,
Justice Hill,BAL,RB,,1.7,1.4,,,,,HIGH,2 proj sources,
Sean Tucker,TB,RB,,2.7,0.1,,,,,LOW,2 proj sources,BIGGEST SLEEPER: owns TB goal line; scored 8 TD in 2025 6 in final 8 games; projection is a volume artifact
Dylan Sampson,CLE,RB,,1.1,1.6,,,,,HIGH,2 proj sources,
Jonah Coleman,DEN,RB,,2.0,0.4,,,,,HIGH,2 proj sources,Rookie GL insurance
Ray Davis,BUF,RB,,1.6,0.7,,,,,HIGH,2 proj sources,
Najee Harris,NYG,RB,,2.1,0.2,,,,,HIGH,2 proj sources,Signed to NYG
Mike Washington Jr.,LV,RB,,2.1,0.1,,,,,HIGH,2 proj sources,Rookie backup to Jeanty
George Holani,SEA,RB,,1.8,0.1,,,,,HIGH,2 proj sources,
Tyrone Tracy Jr.,NYG,RB,,1.2,0.7,,,,,HIGH,2 proj sources,
Kaelon Black,SF,RB,,1.6,0.2,,,,,HIGH,2 proj sources,Rookie
Kimani Vidal,LAC,RB,,1.6,0.2,,,,,HIGH,2 proj sources,
Jaydon Blue,DAL,RB,,1.5,0.2,,,,,HIGH,2 proj sources,
Jaylen Wright,MIA,RB,,1.6,0.1,,,,,HIGH,2 proj sources,
Emmett Johnson,KC,RB,,1.3,0.2,,,,,HIGH,2 proj sources,Rookie
Emari Demercado,KC,RB,,1.2,0.3,,,,,HIGH,2 proj sources,
