name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Luther Burden III,CHI,WR,,0.2,5.5,,,,,HIGH,FFToday + ESPN,
Jake Ferguson,DAL,TE,,,5.5,,,,,HIGH,FFToday + ESPN,
Marvin Harrison Jr.,ARI,WR,,,5.5,,,,,HIGH,FFToday + ESPN,
Tyler Warren,IND,TE,,0.2,5.2,,,,,HIGH,FFToday + ESPN,
George Kittle,SF,TE,,,5.3,,,,,HIGH,FFToday + ESPN,
Romeo Doubs,NE,WR,,,5.2,,,,,HIGH,FFToday + ESPN,
Hunter Henry,NE,TE,,,5.2,,,,,HIGH,FFToday + ESPN,
Alec Pierce,IND,WR,,,5.2,,,,,HIGH,FFToday + ESPN,
Terrance Ferguson,LAR,TE,,,5.2,,,,,HIGH,FFToday + ESPN,
Sam LaPorta,DET,TE,,,5.2,,,,,HIGH,FFToday + ESPN,
Jakobi Meyers,JAX,WR,,0.1,5.1,,,,,HIGH,FFToday + ESPN,
Jordan Addison,MIN,WR,,0.1,5.1,,,,,HIGH,FFToday + ESPN,
Garrett Wilson,NYJ,WR,,0.1,5.1,,,,,HIGH,FFToday + ESPN,
Parker Washington,JAX,WR,,0.1,5.1,,,,,HIGH,FFToday + ESPN,
Brian Thomas Jr.,JAX,WR,,0.1,5.0,,,,,HIGH,FFToday + ESPN,
Jayden Reed,GB,WR,,0.2,4.7,,,,,HIGH,FFToday + ESPN,
Matthew Golden,GB,WR,,0.1,4.8,,,,,HIGH,FFToday + ESPN,
Deebo Samuel Sr.,SF,WR,,1.1,3.7,,,,,LOW,ESPN only,
Tucker Kraft,GB,TE,,0.1,4.7,,,,,HIGH,FFToday + ESPN,
Carnell Tate,TEN,WR,,,4.8,,,,,HIGH,FFToday + ESPN,
Chris Godwin,TB,WR,,,4.8,,,,,HIGH,FFToday + ESPN,
Dalton Kincaid,BUF,TE,,,4.7,,,,,HIGH,FFToday + ESPN,
Makai Lemon,PHI,WR,,,4.7,,,,,LOW,ESPN only,
Xavier Worthy,KC,WR,,0.3,4.3,,,,,HIGH,FFToday + ESPN,
De'Zhaun Stribling,SF,WR,,,4.5,,,,,LOW,ESPN only,
Michael Pittman Jr.,PIT,WR,,,4.5,,,,,HIGH,FFToday + ESPN,
Travis Kelce,KC,TE,,,4.2,,,,,HIGH,FFToday + ESPN,
Stefon Diggs,WAS,WR,,,4.2,,,,,HIGH,FFToday + ESPN,
Harold Fannin Jr.,CLE,TE,,0.1,4.1,,,,,HIGH,FFToday + ESPN,
Jalen McMillan,TB,WR,,0.2,3.9,,,,,LOW,ESPN only,
Rashod Bateman,BAL,WR,,,4.0,,,,,LOW,ESPN only,
AJ Barner,SEA,TE,,0.2,3.8,,,,,HIGH,FFToday + ESPN,
Rashid Shaheed,SEA,WR,,0.5,3.5,,,,,LOW,ESPN only,
Khalil Shakir,BUF,WR,,0.1,3.9,,,,,HIGH,FFToday + ESPN,
Brenton Strange,JAX,TE,,,4.0,,,,,HIGH,FFToday + ESPN,
Darren Waller,CAR,TE,,,4.0,,,,,HIGH,FFToday + ESPN,
Isaiah Likely,NYG,TE,,,4.0,,,,,HIGH,FFToday + ESPN,
Mike Gesicki,CIN,TE,,,3.9,,,,,HIGH,FFToday + ESPN,
Pat Freiermuth,PIT,TE,,,3.9,,,,,MEDIUM,FFToday + ESPN,
Michael Wilson,ARI,WR,,,3.7,,,,,HIGH,FFToday + ESPN,
Adonai Mitchell,NYJ,WR,,0.1,3.6,,,,,LOW,ESPN only,
Calvin Ridley,TEN,WR,,0.2,3.4,,,,,LOW,ESPN only,
Kyle Pitts,ATL,TE,,,3.6,,,,,HIGH,FFToday + ESPN,
David Njoku,LAC,TE,,,3.5,,,,,HIGH,FFToday + ESPN,
Ja'Kobi Lane,BAL,WR,,,3.5,,,,,LOW,ESPN only,
Josh Downs,IND,WR,,0.1,3.4,,,,,HIGH,FFToday + ESPN,
Devaughn Vele,NO,WR,,,3.4,,,,,LOW,ESPN only,
Travis Hunter,JAX,WR,,0.1,3.3,,,,,LOW,ESPN only,
KC Concepcion,CLE,WR,,0.2,3.1,,,,,LOW,ESPN only,
Jauan Jennings,MIN,WR,,,3.3,,,,,LOW,ESPN only,
Isaac TeSlaa,DET,WR,,,3.2,,,,,LOW,ESPN only,
Jalen Nailor,LV,WR,,0.1,3.0,,,,,LOW,ESPN only,
Gunnar Helm,TEN,TE,,,3.1,,,,,HIGH,FFToday + ESPN,
Tyquan Thornton,KC,WR,,,3.0,,,,,LOW,ESPN only,
Jalen Coker,CAR,WR,,,3.0,,,,,LOW,ESPN only,
Chigoziem Okonkwo,WAS,TE,,,3.0,,,,,LOW,FFToday only,
Kenyon Sadiq,NYJ,TE,,,3.0,,,,,HIGH,FFToday + ESPN,
Dalton Schultz,HOU,TE,,,3.0,,,,,HIGH,FFToday + ESPN,
Denzel Boston,CLE,WR,,,3.0,,,,,LOW,ESPN only,
Colby Parkinson,LAR,TE,,,3.0,,,,,HIGH,FFToday + ESPN,
Greg Dulcich,MIA,TE,,,2.9,,,,,MEDIUM,FFToday + ESPN,
Dontayvion Wicks,PHI,WR,,,2.9,,,,,LOW,ESPN only,
Juwan Johnson,NO,TE,,,2.9,,,,,HIGH,FFToday + ESPN,
T.J. Hockenson,MIN,TE,,,2.9,,,,,HIGH,FFToday + ESPN,
Germie Bernard,PIT,WR,,0.1,2.8,,,,,LOW,ESPN only,
Dawson Knox,BUF,TE,,,2.9,,,,,HIGH,FFToday + ESPN,
Ryan Flournoy,DAL,WR,,0.1,2.7,,,,,LOW,ESPN only,
Keon Coleman,BUF,WR,,,2.8,,,,,LOW,ESPN only,
Tre Tucker,LV,WR,,0.3,2.5,,,,,LOW,ESPN only,
Cooper Kupp,SEA,WR,,,2.8,,,,,LOW,ESPN only,
Kayshon Boutte,HOU,WR,,,2.8,,,,,LOW,ESPN only,
Jerry Jeudy,CLE,WR,,,2.7,,,,,LOW,ESPN only,
Keenan Allen,IND,WR,,,2.7,,,,,LOW,ESPN only,
Jordyn Tyson,NO,WR,,,2.7,,,,,LOW,ESPN only,
Xavier Legette,CAR,WR,,0.1,2.6,,,,,LOW,ESPN only,
Jaylin Noel,HOU,WR,,0.1,2.5,,,,,LOW,ESPN only,
Wan'Dale Robinson,TEN,WR,,0.1,2.5,,,,,HIGH,FFToday + ESPN,
Tank Dell,HOU,WR,,0.2,2.4,,,,,LOW,ESPN only,
Tre' Harris,LAC,WR,,,2.5,,,,,LOW,ESPN only,
Antonio Williams,WAS,WR,,0.2,2.3,,,,,LOW,ESPN only,
Omar Cooper Jr.,NYJ,WR,,0.1,2.2,,,,,LOW,ESPN only,
Jahan Dotson,ATL,WR,,,2.3,,,,,LOW,ESPN only,
