name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Buccaneers D/ST,TB,DST,,,,,,2.12,0.45,MEDIUM,Model est. on NFL.com 3yr,
Chiefs D/ST,KC,DST,,,,,,2.10,0.50,MEDIUM,Model est. on NFL.com 3yr,0 def TD in 2025; low variance
Eagles D/ST,PHI,DST,,,,,,2.03,0.60,MEDIUM,Model est. on NFL.com 3yr,TRAP: great real defense but no return game
49ers D/ST,SF,DST,,,,,,1.95,0.55,MEDIUM,Model est. on NFL.com 3yr,Exactly 1 def TD each of last 3 yrs
Cardinals D/ST,ARI,DST,,,,,,1.95,0.50,LOW,Model est. on NFL.com 3yr,
Rams D/ST,LAR,DST,,,,,,1.87,0.50,MEDIUM,Model est. on NFL.com 3yr,Weak returners
Lions D/ST,DET,DST,,,,,,1.78,0.45,MEDIUM,Model est. on NFL.com 3yr,Only 2 def TD in 3 seasons
Commanders D/ST,WAS,DST,,,,,,1.77,0.40,LOW,Model est. on NFL.com 3yr,1 def TD in 3 years
Packers D/ST,GB,DST,,,,,,1.70,0.55,MEDIUM,Model est. on NFL.com 3yr,0 def TD 2025; poor returner
Chargers D/ST,LAC,DST,,,,,,1.62,0.50,MEDIUM,Model est. on NFL.com 3yr,1 def TD in 3 seasons; 19 INTs to 0 INT TD
