name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Brock Bowers,LV,TE,0.0,0.11,7.07,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 7.5),
Chris Olave,NO,WR,0.0,0.0,5.89,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Mark Andrews,BAL,TE,0.0,0.32,6.23,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 6.5),
D.J. Moore,BUF,WR,0.0,0.13,6.29,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 6.5),
Jameson Williams,DET,WR,0.0,0.32,5.58,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Mike Evans,SF,WR,0.0,0.0,6.57,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 6.5),
Trey McBride,ARI,TE,0.0,0.0,6.5,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 6.5),
Ladd McConkey,LAC,WR,0.0,0.0,5.83,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
DK Metcalf,PIT,WR,0.0,0.0,5.58,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Jaylen Waddle,DEN,WR,0.0,0.09,5.58,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
DeVonta Smith,PHI,WR,0.0,0.0,5.6,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Colston Loveland,CHI,TE,0.0,0.0,6.07,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Tetairoa McMillan,CAR,WR,0.0,0.0,6.57,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 6.5),
Terry McLaurin,WAS,WR,0.0,0.0,5.83,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Zay Flowers,BAL,WR,0.0,0.21,5.58,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Quentin Johnston,LAC,WR,0.0,0.1,5.76,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Dallas Goedert,PHI,TE,0.0,0.0,4.87,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Luther Burden III,CHI,WR,0.0,0.2,4.59,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Jake Ferguson,DAL,TE,0.0,0.0,5.0,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Marvin Harrison Jr.,ARI,WR,0.0,0.0,5.24,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Tyler Warren,IND,TE,0.0,0.21,5.32,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
George Kittle,SF,TE,0.0,0.0,5.89,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Romeo Doubs,NE,WR,0.0,0.0,5.0,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Hunter Henry,NE,TE,0.0,0.0,4.33,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Alec Pierce,IND,WR,0.0,0.0,4.7,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Terrance Ferguson,LAR,TE,0.0,0.0,5.18,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Sam LaPorta,DET,TE,0.0,0.0,4.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Jakobi Meyers,JAX,WR,0.0,0.11,5.55,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Jordan Addison,MIN,WR,0.0,0.1,4.42,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Garrett Wilson,NYJ,WR,0.0,0.11,4.98,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Parker Washington,JAX,WR,0.0,0.11,4.7,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Brian Thomas Jr.,JAX,WR,0.0,0.11,4.53,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Jayden Reed,GB,WR,0.0,0.21,5.42,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Matthew Golden,GB,WR,0.0,0.1,5.54,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Deebo Samuel Sr.,SF,WR,0.0,1.25,4.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Tucker Kraft,GB,TE,0.0,0.1,5.4,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Carnell Tate,TEN,WR,0.0,0.0,4.33,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Chris Godwin,TB,WR,0.0,0.0,4.81,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Dalton Kincaid,BUF,TE,0.0,0.0,4.17,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 3.5),
Makai Lemon,PHI,WR,0.0,0.0,5.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 5.5),
Xavier Worthy,KC,WR,0.0,0.31,4.14,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
De'Zhaun Stribling,SF,WR,0.0,0.0,4.86,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Michael Pittman Jr.,PIT,WR,0.0,0.0,4.42,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Travis Kelce,KC,TE,0.0,0.0,4.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Stefon Diggs,WAS,WR,0.0,0.0,4.81,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Harold Fannin Jr.,CLE,TE,0.0,0.1,4.93,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Jalen McMillan,TB,WR,0.0,0.21,3.86,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Rashod Bateman,BAL,WR,0.0,0.0,4.69,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
AJ Barner,SEA,TE,0.0,0.18,3.53,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Rashid Shaheed,SEA,WR,0.0,0.45,3.25,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Khalil Shakir,BUF,WR,0.0,0.06,3.64,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Brenton Strange,JAX,TE,0.0,0.0,4.35,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Darren Waller,CAR,TE,0.0,0.0,4.71,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Isaiah Likely,NYG,TE,0.0,0.0,4.5,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Mike Gesicki,CIN,TE,0.0,0.0,4.92,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Pat Freiermuth,PIT,TE,0.0,0.0,5.44,0.0,0.0,0.0,0.0,MEDIUM,"Vegas team budget, share from projections",
Michael Wilson,ARI,WR,0.0,0.0,4.72,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Adonai Mitchell,NYJ,WR,0.0,0.11,3.15,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Calvin Ridley,TEN,WR,0.0,0.28,4.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
Kyle Pitts,ATL,TE,0.0,0.0,4.76,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 4.5),
David Njoku,LAC,TE,0.0,0.0,3.35,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Ja'Kobi Lane,BAL,WR,0.0,0.0,4.1,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Josh Downs,IND,WR,0.0,0.11,3.07,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
Devaughn Vele,NO,WR,0.0,0.0,4.16,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Travis Hunter,JAX,WR,0.0,0.11,3.59,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
KC Concepcion,CLE,WR,0.0,0.21,3.67,0.0,0.0,0.0,0.0,HIGH,POSTED LINE (draftkings 3.5),
Jauan Jennings,MIN,WR,0.0,0.0,3.57,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Isaac TeSlaa,DET,WR,0.0,0.0,4.51,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Jalen Nailor,LV,WR,0.0,0.11,3.61,0.0,0.0,0.0,0.0,LOW,"Vegas team budget, share from projections",
Gunnar Helm,TEN,TE,0.0,0.0,4.35,0.0,0.0,0.0,0.0,HIGH,"Vegas team budget, share from projections",
